"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall"
"MUSTELUS.MUSTELUS",FALSE,1503,1503,70,1433,1,0.0465735196274118,0.953426480372588
"MUSTELUS.PALUMBES",FALSE,1794,1794,46,1748,1,0.0256410256410256,0.974358974358974
"MYLIOBATIS.AQUILA",FALSE,810,810,54,756,1,0.0666666666666667,0.933333333333333
"NARKE.CAPENSIS",FALSE,340,340,19,321,1,0.0558823529411765,0.944117647058824
"NEORAJA.STEHMANNI",FALSE,294,294,12,282,1,0.0408163265306122,0.959183673469388
"NEOTRYGON.CAERULEOPUNCTATA",FALSE,25,25,3,22,1,0.12,0.88
"NOTORYNCHUS.CEPEDIANUS",FALSE,712,712,24,688,1,0.0337078651685393,0.966292134831461
"PATEOBATIS.FAI",FALSE,36,36,6,30,1,0.166666666666667,0.833333333333333
"PATEOBATIS.JENKINSII",FALSE,226,226,40,186,1,0.176991150442478,0.823008849557522
"PLIOTREMA.WARRENI",FALSE,893,893,36,857,1,0.0403135498320269,0.959686450167973
"PORODERMA.AFRICANUM",FALSE,570,570,29,541,1,0.0508771929824561,0.949122807017544
"PORODERMA.PANTHERINUM",FALSE,527,527,30,497,1,0.0569259962049336,0.943074003795066
"PRIONACE.GLAUCA",FALSE,2660,2660,55,2605,1,0.0206766917293233,0.979323308270677
"PSEUDOCARCHARIAS.KAMOHARAI",FALSE,344,344,10,334,1,0.0290697674418605,0.970930232558139
"PTEROPLATYTRYGON.VIOLACEA",FALSE,760,760,27,733,1,0.0355263157894737,0.964473684210526
"RAJA.OCELLIFERA",FALSE,765,765,25,740,1,0.0326797385620915,0.967320261437909
"RAJA.STRAELENI",FALSE,2131,2131,61,2070,1,0.0286250586579071,0.971374941342093
"RAJELLA.BARNARDI",FALSE,640,640,21,619,1,0.0328125,0.9671875
"RAJELLA.CAUDASPINOSA",FALSE,887,887,19,868,1,0.0214205186020293,0.978579481397971
"RAJELLA.DISSIMILIS",FALSE,689,689,28,661,1,0.0406386066763425,0.959361393323657
"RAJELLA.LEOPARDA",FALSE,1292,1292,22,1270,1,0.0170278637770898,0.98297213622291
"RAJELLA.RAVIDULA",FALSE,537,537,17,520,1,0.031657355679702,0.968342644320298
"RHINCODON.TYPUS",FALSE,584,584,64,520,1,0.10958904109589,0.89041095890411
"RHINOPTERA.JAYAKARI",FALSE,62,62,7,55,1,0.112903225806452,0.887096774193548
"RHIZOPRIONODON.ACUTUS",FALSE,77,77,8,69,1,0.103896103896104,0.896103896103896
"RHYNCHOBATUS.DJIDDENSIS",FALSE,149,149,20,129,1,0.134228187919463,0.865771812080537
"ROSTRORAJA.ALBA",FALSE,1778,1778,59,1719,1,0.0331833520809899,0.96681664791901
"SCYLIORHINUS.CAPENSIS",FALSE,1540,1540,48,1492,1,0.0311688311688312,0.968831168831169
"SCYLLIOGALEUS.QUECKETTI",FALSE,24,24,5,19,1,0.208333333333333,0.791666666666667
"SPHYRNA.ZYGAENA",FALSE,666,666,48,618,1,0.0720720720720721,0.927927927927928
"SQUALUS.ACANTHIAS",FALSE,2123,2123,71,2052,1,0.0334432406971267,0.966556759302873
"SQUALUS.BASSI",FALSE,1475,1475,25,1450,1,0.0169491525423729,0.983050847457627
"STEGOSTOMA.TIGRINUM",FALSE,100,100,10,90,1,0.1,0.9
"TAENIURA.LYMMA",FALSE,9,9,3,6,1,0.333333333333333,0.666666666666667
"TAENIUROPS.MEYENI",FALSE,85,85,16,69,1,0.188235294117647,0.811764705882353
"TETRONARCE.COWLEYI",FALSE,1623,1623,41,1582,1,0.0252618607516944,0.974738139248306
"TORPEDO.FUSCOMACULATA",FALSE,878,878,40,838,1,0.0455580865603645,0.954441913439636
"TORPEDO.SINUSPERSICI",FALSE,135,135,14,121,1,0.103703703703704,0.896296296296296
"TRIAENODON.OBESUS",FALSE,27,27,5,22,1,0.185185185185185,0.814814814814815
"TRIAKIS.MEGALOPTERUS",FALSE,569,569,20,549,1,0.0351493848857645,0.964850615114236
